Company;Number of printers (Sum)
Voodoo Manufacturing;210
Prototek Holdings;144
Quickparts;144
WhiteClouds;140
i-SOLIDS;127
Protolabs;120
Precision ADM;104
ADDMAN;65
GoEngineer;53
Tangible Creative;53
Autotiv Manufacturing Corporation (Autotiv MFG);51
IC3D;50
Prototek - Midwest Prototyping;50
Makelab;39
Cumberland Additive;31
EPTAM Precision Metals;31
Printerior;30
Incodema 3D;28
Sintavia, LLC;28
Evology MFG;26
DELRAY Systems;24
Build Parts (by CIDEAS Inc.);22
KAM (Keselowski Advanced Manufacturing);21
Printed Solid (acquired by Prusa);20
Solaxis Ingenious Manufacturing;19
ARRK North America;18
DI Labs;17
TriMech;17
Zeda Technologies;16
Additive at Scale;15
The Technology House;15
AdvancedTek;14
Realize, Inc.;14
Advanced Additive Innovations Inc.;13
Applied Rapid Technologies;13
Bastech;13
MIMO Technik;13
PaliProto 3D;13
Axis Prototypes Inc.;12
Burloak;12
Forerunner 3D Printing;12
Humtown Products;12
i3D MFG;12
Met-L-Flo;12
Sybridge;12
The 3D Printing Store;12
Advantage Prototype Systems;11
Aristo Cast;11
B-jetting;11
Beehive Industries;11
Big Tech;11
3D Printing Chicago;10
ProtoCAM;10
Skuld;10
Tangible solutions;10
Agile Manufacturing;9
AMfg Labs;9
Fathom Digital Manufacturing;9
SICAM;9
Tronix3D (Agile Additive);9
3D Parts Manufacturing;8
Baker Industries, Inc.;8
Forge Labs;8
Thingergy;8
3D Accuracy;7
3DX Industries;7
A3D;7
Custom Prototypes;7
Jinxbot 3D Printing Services;7
Ponoko Inc.;7
Primary Manufacturing;7
UPTIVE;7
3D PRINTER TECHNOLOGY;6
3D Printsmith LLC;6
American Additive Manufacturing;6
Caterpillar Inc.;6
Dependable Pattern Works;6
eCadCam;6
Jabil Additive;6
Javelin Technologies, A TriMech Company;6
Nota3D;6
Proto 3000;6
Rapid Prototyping Services;6
RP+M (rapid prototype + manufacturing llc);6
Xcentric Mold & Engineering (Quickparts);6
3DChimera;5
Additive America;5
Additive Manufacturing LLC;5
Agile Space Industries – Agile Additive;5
ART – Applied Rapid Technologies;5
Azoth 3D;5
Burton Precision;5
Catalysis Additive Tooling;5
Compound Dynamics;5
Geofabrica;5
KARV Automation;5
LGM 3D;5
Lincoln laser solutions;5
Moog;5
Part Snap;5
Penn United Technologies Inc.;5
PPG;5
Proto Cafe;5
Purple Porcupine;5
RapidMade;5
Troadey Inc.;5
Valiant Products;5
Xometry;5
3 Space;4
3D Solutions, Inc;4
Additive Plus;4
Concept Advanced Manufacturing Solutions;4
Exco Engineering;4
FreeFORM Technologies;4
GZERO Additive;4
Hawk Ridge Systems;4
Hotpop Factory;4
InstaVoxel;4
Jawstec;4
Materialise NV;4
MatterThings Inc.;4
Objex Unlimited Inc.;4
Paradigm Manufacturing;4
Prototyp3;4
R&D Technologies, Inc.;4
Solidiform;4
The Lubrizol Corporation;4
Voxel Magic;4
3D Chimera;3
3D Herndon;3
3D in Metal;3
3D Printing Tech;3
3D-CAM;3
AmPd Labs;3
ARCH Additive;3
Avid Product Development ;3
Cimquest Inc;3
CoKreeate;3
CTC – Concurrent Technologies Corporation;3
Endeavor3D;3
Hollywood 3D Printing;3
HRL Laboratories;3
Kaiser Aluminum;3
Northwest Rapid Manufacturing;3
Panashape;3
Prg Prototyping;3
Shop 3D;3
Superior Joining Technologies, Inc.;3
Tooling & Equipment International – TEI (part of General Motors);3
Ultimate 3D;3
3 DPX;2
3D Logics;2
3D Rapid Parts;2
ABCorp3D;2
Accel Digital Solutions;2
Advanced 3D;2
AES – Additive Engineering Solutions;2
Archematerial;2
CT3D;2
FasTech;2
MTek3D;2
Optisys;2
Polyhistor International;2
Prozix;2
Tempus 3D;2
Zip Bit;2
(UPM) United Performance Metals, LLC;1
3D Brooklyn;1
3D Central;1
3D Innovations;1
3D Print Everything;1
3D printed microTEC;1
3D Printing Canada;1
3D Simulations;1
3DEO;1
3DMakerWorld Services;1
ABC Imaging;1
Additive Man;1
Aerodine Composites Group;1
Alaska 3D Printing;1
Alpha Additive Manufacturing Technologies;1
American Cladding;1
Areion3D;1
Armadillo Additive;1
Armstrong RM;1
Ashland Foundry and Machine Works, LLC;1
ATI Specialty Materials (Allegheny Technologies Incorporated);1
Aurora Quickturn;1
Auxetic;1
Barron Industries;1
Beckatt Solutions;1
Black Buffalo;1
Bluedge;1
Branch Technology;1
Cincinnati Incorporated;1
Cosine Additive Inc;1
Detroit 3D;1
Duncan Machine Products – DMP;1
Electroimpact;1
Elite Mold & Engineering/Elite Additive Manufacturing;1
Eveline;1
Exergy Solutions;1
Extol Inc.;1
Fabric8Labs;1
Famaero;1
Fargo 3D Printing;1
Farrar Corporation;1
Gallagher Corporation;1
Heres 3D;1
Parmatech;1
Quadrus Corporation;1
Quaker City Castings;1
Samcraft;1
TriTech Titanium Parts;1
Upsurge;1
Vismed 3d;1
Wall Colmonoy;1
Zager 3D Printing;1
Grand Total;2568
