;;;;;;;;;;;;;;;;;;;
;;;Summary table - facility locations;;;;;;;;;;;;;;;;
Companies;State;;State/Province;Count;Percent;;;;;;;;;;;;;;
(UPM) United Performance Metals, LLC;OH;;;23;9,1;;;;;;;;;;;;;;
3 DPX;IL;;;22;8,7;;;;;;;;;;;;;;
3 Space;KY;;;18;7,1;;;;;;;;;;;;;;
3D Accuracy;VA;;;16;6,3;;;;;;;;;;;;;;
3D Brooklyn;NY;;;15;5,9;;;;;;;;;;;;;;
3D Central;VA;;;12;4,7;;;;;;;;;;;;;;
3D Chimera;FL;;;12;4,7;;;;;;;;;;;;;;
3D Herndon;VA;;;12;4,7;;;;;;;;;;;;;;
3D in Metal;TX;;;11;4,3;;;;;;;;;;;;;;
3D Innovations;HI;;;8;3,1;;;;;;;;;;;;;;
3D Logics;OR;;;8;3,1;;;;;;;;;;;;;;
3D Parts Manufacturing;IN;;;7;2,8;;;;;;;;;;;;;;
3D Print Everything;TX;;;7;2,8;;;;;;;;;;;;;;
3D printed microTEC;MD;;;7;2,8;;;;;;;;;;;;;;
3D PRINTER TECHNOLOGY;GA;;;7;2,8;;;;;;;;;;;;;;
3D Printing Canada;ON;;;6;2,4;;;;;;;;;;;;;;
3D Printing Chicago;IL;;;5;2,0;;;;;;;;;;;;;;
3D Printing Tech;GA;;;5;2,0;;;;;;;;;;;;;;
3D Printsmith LLC;MA;;;4;1,6;;;;;;;;;;;;;;
3D Rapid Parts;AZ;;;4;1,6;;;;;;;;;;;;;;
3D Simulations;FL;;;4;1,6;;;;;;;;;;;;;;
3D Solutions, Inc;GA;;;4;1,6;;;;;;;;;;;;;;
3D-CAM;CA;;;4;1,6;;;;;;;;;;;;;;
3DChimera;FL;;;3;1,2;;;;;;;;;;;;;;
3DEO;CA;;;3;1,2;;;;;;;;;;;;;;
3DMakerWorld Services;KS;;;3;1,2;;;;;;;;;;;;;;
3DX Industries;WA;;;3;1,2;;;;;;;;;;;;;;
A3D;AZ;;;2;0,8;;;;;;;;;;;;;;
ABC Imaging;VA;;;2;0,8;;;;;;;;;;;;;;
ABCorp3D;MA;;;2;0,8;;;;;;;;;;;;;;
Accel Digital Solutions;MI;;;2;0,8;;;;;;;;;;;;;;
Additive America;OH;;;1;0,4;;;;;;;;;;;;;;
Additive at Scale;TX;;;1;0,4;;;;;;;;;;;;;;
Additive Man;CA;;;1;0,4;;;;;;;;;;;;;;
Additive Manufacturing LLC;NV;;;1;0,4;;;;;;;;;;;;;;
Additive Plus;CA;;;1;0,4;;;;;;;;;;;;;;
ADDMAN;FL;;;1;0,4;;;;;;;;;;;;;;
Advanced 3D;NC;;;1;0,4;;;;;;;;;;;;;;
Advanced Additive Innovations Inc.;NC;;;1;0,4;;;;;;;;;;;;;;
AdvancedTek;MN;;;1;0,4;;;;;;;;;;;;;;
Advantage Prototype Systems;WI;;;1;0,4;;;;;;;;;;;;;;
Aerodine Composites Group;IN;;;1;0,4;;;;;;;;;;;;;;
AES – Additive Engineering Solutions;OH;;;1;0,4;;;;;;;;;;;;;;
Agile Manufacturing;ON;;;1;0,4;;;;;;;;;;;;;;
Agile Space Industries – Agile Additive;CO;;Sum;254;100;;;;;;;;;;;;;;
Alaska 3D Printing;AK;;;;;;;;;;;;;;;;;;
Alpha Additive Manufacturing Technologies;MA;;;;;;;;;;;;;;;;;;
American Additive Manufacturing;PA;;;;;;;;;;;;;;;;;;
American Cladding;CT;;;;;;;;;;;;;;;;;;
AMfg Labs;OH;;;;;;;;;;;;;;;;;;
AmPd Labs;TX;;;;;;;;;;;;;;;;;;
Applied Rapid Technologies;VA;;;;;;;;;;;;;;;;;;
ARCH Additive;MI;;;;;;;;;;;;;;;;;;
Archematerial;VA;;;;;;254;27;;;;;;;;;;;
Areion3D;PA;;;;;;;10,6299212598425;;;;;;;;;;;
Aristo Cast;MI;;;;;;;89,3700787401575;;;;;;;;;;;
Armadillo Additive;TX;;;;;;;;;;;;;;;;;;
Armstrong RM;NY;;;;;;;;;;;;;;;;;;
ARRK North America;CA;;;;;;;;;;;;;;;;;;
ART – Applied Rapid Technologies;VA;;;;;;;;;;;;;;;;;;
Ashland Foundry and Machine Works, LLC;PA;;;;;;;;;;;;;;;;;;
ATI Specialty Materials (Allegheny Technologies Incorporated);FL;;;;;;;;;;;;;;;;;;
Aurora Quickturn;GA;;;;;;;;;;;;;;;;;;
Autotiv Manufacturing Corporation (Autotiv MFG);NH;;;;;;;;;;;;;;;;;;
Auxetic;NY;;;;;;;;;;;;;;;;;;
Avid Product Development ;CO;;;;;;;;;;;;;;;;;;
Axis Prototypes Inc.;QC;;;;;;;;;;;;;;;;;;
Azoth 3D;MI;;;;;;;;;;;;;;;;;;
B-jetting;PA;;;;;;;;;;;;;;;;;;
Baker Industries, Inc.;MI;;;;;;;;;;;;;;;;;;
Barron Industries;MI;;;;;;;;;;;;;;;;;;
Bastech;OH;;;;;;;;;;;;;;;;;;
Beckatt Solutions;IL;;;;;;;;;;;;;;;;;;
Beehive Industries;CO;;;;;;;;;;;;;;;;;;
Big Tech;NY;;;;;;;;;;;;;;;;;;
Black Buffalo;NJ;;;;;;;;;;;;;;;;;;
Bluedge;MA;;;;;;;;;;;;;;;;;;
Branch Technology;TN;;;;;;;;;;;;;;;;;;
Build Parts (by CIDEAS Inc.);IL;;;;;;;;;;;;;;;;;;
Burloak;ON;;;;;;;;;;;;;;;;;;
Burton Precision;MI;;;;;;;;;;;;;;;;;;
Catalysis Additive Tooling;OH;;;;;;;;;;;;;;;;;;
Caterpillar Inc.;TX;;;;;;;;;;;;;;;;;;
Cimquest Inc;NJ;;;;;;;;;;;;;;;;;;
Cincinnati Incorporated;OH;;;;;;;;;;;;;;;;;;
CoKreeate;CA;;;;;;;;;;;;;;;;;;
Compound Dynamics;WI;;;;;;;;;;;;;;;;;;
Concept Advanced Manufacturing Solutions;MN;;;;;;;;;;;;;;;;;;
Cosine Additive Inc;TX;;;;;;;;;;;;;;;;;;
CT3D;CT;;;;;;;;;;;;;;;;;;
CTC – Concurrent Technologies Corporation;PA;;;;;;;;;;;;;;;;;;
Cumberland Additive;TX;;;;;;;;;;;;;;;;;;
Custom Prototypes;ON;;;;;;;;;;;;;;;;;;
DELRAY Systems;MI;;;;;;;;;;;;;;;;;;
Dependable Pattern Works;OR;;;;;;;;;;;;;;;;;;
Detroit 3D;MI;;;;;;;;;;;;;;;;;;
DI Labs;MN;;;;;;;;;;;;;;;;;;
Duncan Machine Products – DMP;OK;;;;;;;;;;;;;;;;;;
eCadCam;CA;;;;;;;;;;;;;;;;;;
Electroimpact;WA;;;;;;;;;;;;;;;;;;
Elite Mold & Engineering/Elite Additive Manufacturing;MI;;;;;;;;;;;;;;;;;;
Endeavor3D;GA;;;;;;;;;;;;;;;;;;
EPTAM Precision Metals;CO;;;;;;;;;;;;;;;;;;
Eveline;NY;;;;;;;;;;;;;;;;;;
Evology MFG;WI;;;;;;;;;;;;;;;;;;
Exco Engineering;ON;;;;;;;;;;;;;;;;;;
Exergy Solutions;QC;;;;;;;;;;;;;;;;;;
Extol Inc.;MI;;;;;;;;;;;;;;;;;;
Fabric8Labs;CA;;;;;;;;;;;;;;;;;;
Famaero;MI;;;;;;;;;;;;;;;;;;
Fargo 3D Printing;ND;;;;;;;;;;;;;;;;;;
Farrar Corporation;KS;;;;;;;;;;;;;;;;;;
FasTech;VA;;;;;;;;;;;;;;;;;;
Fathom Digital Manufacturing;WI, AZ, CO, IL, IL. MN, NY, NY, TX;;;;;;;;;;;;;;;;;;
Forerunner 3D Printing;MI;;;;;;;;;;;;;;;;;;
Forge Labs;BC;;;;;;;;;;;;;;;;;;
FreeFORM Technologies;PA;;;;;;;;;;;;;;;;;;
Gallagher Corporation;IL;;;;;;;;;;;;;;;;;;
Geofabrica;MI;;;;;;;;;;;;;;;;;;
GoEngineer;UT;;;;;;;;;;;;;;;;;;
GZERO Additive;OH;;;;;;;;;;;;;;;;;;
Hawk Ridge Systems;CA, CA, WA, OR, ID, NJ, NJ, MA, MI, OH, FL, PA, AR, ON, AB, ;;;;;;;;;;;;;;;;;;
Heres 3D;TN;;;;;;;;;;;;;;;;;;
Hollywood 3D Printing;CA;;;;;;;;;;;;;;;;;;
Hotpop Factory;ON;;;;;;;;;;;;;;;;;;
HRL Laboratories;CA;;;;;;;;;;;;;;;;;;
Humtown Products;OH;;;;;;;;;;;;;;;;;;
i-SOLIDS;TX;;;;;;;;;;;;;;;;;;
i3D MFG;OR;;;;;;;;;;;;;;;;;;
IC3D;OH;;;;;;;;;;;;;;;;;;
Incodema 3D;NY;;;;;;;;;;;;;;;;;;
InstaVoxel;MA;;;;;;;;;;;;;;;;;;
Jabil Additive;FL;;;;;;;;;;;;;;;;;;
Javelin Technologies, A TriMech Company;ON;;;;;;;;;;;;;;;;;;
Jawstec;ID;;;;;;;;;;;;;;;;;;
Jinxbot 3D Printing Services;CA;;;;;;;;;;;;;;;;;;
Kaiser Aluminum;NJ;;;;;;;;;;;;;;;;;;
KAM (Keselowski Advanced Manufacturing);NC;;;;;;;;;;;;;;;;;;
KARV Automation;TX;;;;;;;;;;;;;;;;;;
LGM 3D;CO;;;;;;;;;;;;;;;;;;
Lincoln laser solutions;ON;;;;;;;;;;;;;;;;;;
Makelab;NY, CA;;;;;;;;;;;;;;;;;;
Materialise NV;MI;;;;;;;;;;;;;;;;;;
MatterThings Inc.;QC;;;;;;;;;;;;;;;;;;
Met-L-Flo;IL;;;;;;;;;;;;;;;;;;
MIMO Technik;CA;;;;;;;;;;;;;;;;;;
Moog;NY;;;;;;;;;;;;;;;;;;
MTek3D;TN;;;;;;;;;;;;;;;;;;
Northwest Rapid Manufacturing;OR;;;;;;;;;;;;;;;;;;
Nota3D;WI;;;;;;;;;;;;;;;;;;
Objex Unlimited Inc.;ON;;;;;;;;;;;;;;;;;;
Optisys;UT;;;;;;;;;;;;;;;;;;
PaliProto 3D;GA;;;;;;;;;;;;;;;;;;
