;Company;Printer manufacturer;Printer model;Process;Material;Number of printers;Count type;Country;State / province;Website
;(UPM) United Performance Metals, LLC;Fabrisonic;SonicLayer 1200;SHL;Metal;1;Minimum;United States;OH;https://upmet.com
;3 DPX;EOS;;PBF-LB;Polymer;1;Minimum;United States;IL;https://3dpx.com
;3 DPX;;;BJT;Metal;1;Minimum;United States;IL;https://3dpx.com
;3 Space;Stratasys;Fortus;MEX;Polymer;1;Minimum;United States;KY;https://3space.com
;3 Space;Stratasys;Polyjet;MJT;Polymer;1;Minimum;United States;KY;https://3space.com
;3 Space;3D Systems;MultiJet;MJT;Polymer;1;Minimum;United States;KY;https://3space.com
;3 Space;3D Systems;SLA;VPP;Polymer;1;Minimum;United States;KY;https://3space.com
;3D Accuracy;Stratasys;FDM;MEX;Polymer;4;Actual;United States;VA;https://3d-accuracy.com
;3D Accuracy;Stratasys;Objet;MJT;Polymer;2;Actual;United States;VA;https://3d-accuracy.com
;3D Accuracy;Stratasys;Fortus;MEX;Polymer;1;Actual;United States;VA;https://3d-accuracy.com
;3D Brooklyn;;;MEX;Polymer;1;Minimum;United States;NY;https://3dbrooklyn.com
;3D Central;;;MEX;Polymer;1;Minimum;United States;VA;https://3dcentralva.com
;3D Chimera;;;PBF-LB;Polymer;1;Minimum;United States;FL;https://3dchimera.com
;3D Chimera;;;MEX;Polymer;1;Minimum;United States;FL;https://3dchimera.com
;3D Chimera;;;VPP;Polymer;1;Minimum;United States;FL;https://3dchimera.com
;3D Herndon;;;VPP;Polymer;1;Minimum;United States;VA;https://3dherndon.com
;3D Herndon;;;MEX;Polymer;1;Minimum;United States;VA;https://3dherndon.com
;3D Herndon;;;PBF-LB;Polymer;1;Minimum;United States;VA;https://3dherndon.com
;3D in Metal;SPEE3D;;Cold spray;Metal;1;Minimum;United States;TX;https://3dinmetal.com
;3D in Metal;MELD;;Friction stir welding;Metal;1;Minimum;United States;TX;https://3dinmetal.com
;3D in Metal;;;wDED-Arc;Metal;1;Minimum;United States;TX;https://3dinmetal.com
;3D Innovations;;;MEX;Polymer;1;Minimum;United States;HI;https://3d-innovations.com
;3D Logics;EOS;M290;PBF-LB;Metal;1;Minimum;United States;OR;https://3dlogics.com
;3D Logics;EOS;P110;PBF-LB;Polymer;1;Minimum;United States;OR;https://3dlogics.com
;3D Parts Manufacturing;Raise 3D;;VPP;Polymer;6;Minimum;United States;IN;https://3dpartsmfg.com
;3D Parts Manufacturing;HP;;MJT;Polymer;1;Minimum;United States;IN;https://3dpartsmfg.com
;3D Parts Manufacturing;;;MEX;Polymer;1;Minimum;United States;IN;https://3dpartsmfg.com
;3D Print Everything;;;MEX;Polymer;1;Minimum;United States;TX;https://go.thryv.com/site/3DPrintEverything
;3D printed microTEC;;;VPP;Polymer;1;Minimum;United states;MD;https://3dprintedmicrotec.com
;3D PRINTER TECHNOLOGY;;;VPP;Polymer;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D PRINTER TECHNOLOGY;;;PBF-LB;Polymer;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D PRINTER TECHNOLOGY;;;PBF-EB;Metal;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D PRINTER TECHNOLOGY;;Polyjet;MJT;Polymer;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D PRINTER TECHNOLOGY;;;PBF-LB;Metal;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D PRINTER TECHNOLOGY;;;MEX;Polymer;1;Minimum;United States;GA;https://3DCADPRINTER.COM
;3D Printing Canada;;;MEX;Polymer;1;Minimum;Canada;ON;https://3dprintingcanada.com
;3D Printing Chicago;;;MEX;Polymer;10;Actual;United States;IL;https://3d-printing-chicago.com
;3D Printing Tech;Massivit;5000;MEX;Polymer;1;Minimum;United states;GA;https://3dprintingtech.com
;3D Printing Tech;;;MEX;Polymer;1;Minimum;United states;GA;https://3dprintingtech.com
;3D Printing Tech;XYZPrinting;MfgPro230;PBF-LB;Polymer;1;Minimum;United states;GA;https://3dprintingtech.com
;3D Printsmith LLC;;;MJT;Polymer;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Printsmith LLC;;;MEX;Polymer;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Printsmith LLC;;;PBF-LB;Polymer;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Printsmith LLC;;;BJT;Polymer;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Printsmith LLC;;;PBF-LB;Metal;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Printsmith LLC;;;VPP;Polymer;1;Minimum;United States;MA;https://3dprintsmith.com
;3D Rapid Parts;;;VPP;Polymer;1;Minimum;United States;AZ;https://phxrapid.com
;3D Rapid Parts;;;MEX;Polymer;1;Minimum;United States;AZ;https://phxrapid.com
;3D Simulations;;;MEX;Polymer;1;Minimum;United States;FL;https://3dsimulationsinc.com
;3D Solutions, Inc;;;MJT;Polymer;1;Minimum;United States;GA;https://3dsolutionsinc.com
;3D Solutions, Inc;;;VPP;Polymer;1;Minimum;United States;GA;https://3dsolutionsinc.com
;3D Solutions, Inc;;;PBF-LB;Polymer;1;Minimum;United States;GA;https://3dsolutionsinc.com
;3D Solutions, Inc;;;MEX;Polymer;1;Minimum;United States;GA;https://3dsolutionsinc.com
;3D-CAM;;;VPP;Polymer;1;Minimum;United States;CA;https://3d-cam.com
;3D-CAM;;;MEX;Polymer;1;Minimum;United States;CA;https://3d-cam.com
;3D-CAM;;;PBF-LB;Polymer;1;Minimum;United States;CA;https://3d-cam.com
;3DChimera;Bambu Lab;;MEX;Polymer;3;Minimum;United States;FL;https://shop3dchimera.com
;3DChimera;Sintratec;;PBF-LB;Polymer;2;Minimum;United States;FL;https://shop3dchimera.com
;3DEO;Proprietary;;BJT;Metal;1;Minimum;United States;CA;https://3deo.co
;3DMakerWorld Services;HP;MJF;PBF-IR;Polymer;1;Minimum;United States;KS;https://3dmakerworld.com
;3DX Industries;;;MEX;Polymer;2;Minimum;United States;WA;https://3dxindustries.com
;3DX Industries;;;BJT;Metal;2;Minimum;United States;WA;https://3dxindustries.com
;3DX Industries;;;VPP;Polymer;3;Minimum;United States;WA;https://3dxindustries.com
;A3D;HP;;PBF-IR;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;Markforged;;MEX;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;Stratasys;;MEX;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;;;PBF-LB;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;Formlabs;;VPP;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;Stratasys;;VPP;Polymer;1;Minimum;United States;AZ;https://a3dmfg.com
;A3D;Markforged;;MEX;Metal;1;Minimum;United States;AZ;https://a3dmfg.com
;ABC Imaging;;;MEX;Polymer;1;Minimum;United States;VA;https://abcimaging.com
;ABCorp3D;HP;;PBF-IR;Polymer;1;Minimum;United states;MA;https://abcorp.com
;ABCorp3D;Desktop Metal;;BJT;Metal;1;Minimum;United states;MA;https://abcorp.com
;Accel Digital Solutions;HP;;PBF-IR;Polymer;1;Minimum;United States;MI;https://acceldigitalsolutions.com
;Accel Digital Solutions;Bambu Lab;;MEX;Polymer;1;Minimum;United States;MI;https://acceldigitalsolutions.com
;Additive America;;;VPP;Polymer;1;Minimum;United States;OH;https://AdditiveAmerica.com
;Additive America;;;MEX;Polymer;1;Minimum;United States;OH;https://AdditiveAmerica.com
;Additive America;;;MJT;Polymer;1;Minimum;United States;OH;https://AdditiveAmerica.com
;Additive America;;;PBF-IR;Polymer;1;Minimum;United States;OH;https://AdditiveAmerica.com
;Additive America;;;PBF-LB;Polymer;1;Minimum;United States;OH;https://AdditiveAmerica.com
;Additive at Scale;;;MEX;Polymer;14;Minimum;United States;TX;https://www.additiveatscale.com
;Additive at Scale;;;VPP;Polymer;1;Minimum;United States;TX;https://www.additiveatscale.com
;Additive Man;Juggerbot;Tradesman P3-44;MEX;Polymer;1;Minimum;United States;CA;https://additiveman.com
;Additive Manufacturing LLC;Stratasys;Fortus;MEX;Polymer;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Manufacturing LLC;EOS;;PBF-LB;Metal;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Manufacturing LLC;HP;;PBF-IR;Metal;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Manufacturing LLC;3D Systems;;VPP;Polymer;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Manufacturing LLC;EOS;;PBF-LB;Polymer;1;Minimum;United States;NV;https://additivemanufacturingllc.com
;Additive Plus;;;MEX;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;PBF-LB;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;VPP;Polymer;1;Minimum;United States;CA;https://additiveplus.com
;Additive Plus;;;PBF-LB;Metal;1;Minimum;United States;CA;https://additiveplus.com
;ADDMAN;EOS;M100;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M270;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M290;PBF-LB;Metal;5;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M400-1;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;EOS;M400-4;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;GE Additive;Concept Laser M2;PBF-LB;Metal;3;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Velo3D;Sapphire;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Velo3D;Sapphire XC;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Additive Industries;Metal Fab1;PBF-LB;Metal;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Prox 320;PBF-LB;Metal;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Titan;Atlas 2.5;MEX;Polymer;2;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;BCN3D;W27;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Creatbot;F430;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Anet;A8;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Creality;Ender 5 Plus;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Fusion3;F410;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Aon3D;M2+;MEX;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Fuse1;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 3;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 3L;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Formlabs;Form 2;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Phrozen;Transform;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;NEO 800;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Axtra3d;Lumia X1;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;Stratasys;NEO 450;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Prox 800;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;SLA-5000;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;SLA-7000;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
;ADDMAN;3D Systems;Viper;VPP;Polymer;1;Minimum;United States;FL;https://addmangroup.com
