Company name,Segment,Process,Material format,Material type,Country
Sakuu,System manufacturer,,,Metal,United States
Sakuu,System manufacturer,,,Polymer,United States
Sakuu,System manufacturer,,powder,ceramic,United States
3DEO,System manufacturer,BJT,powder,metal,United States
"AMSKY Technology Co., Ltd.",System manufacturer,BJT,,sand,China
"AMSKY Technology Co., Ltd.",System manufacturer,BJT,,ceramic,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,BJT,,sand,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,BJT,,metal,China
"Beijing SANDI Technology Co.(3D Printing Technology, Inc.)",System manufacturer,BJT,,ceramic,China
ADDIMETAL,System manufacturer,BJT,powder,metal,France
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,BJT,powder,metal,China
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,BJT,powder,ceramic,China
"3D Printing Technology, Inc. (3DPTEK)",System manufacturer,BJT,powder,sand,China
Beijing Longyuan Automated Fabrication System Co. Ltd. – AFS,System manufacturer,BJT,,,China
Breuck T3D,System manufacturer,BJT,powder,ceramic,China
3D-Hybrid,System manufacturer,Cold spray,powder,metal,United States
SPEE3D,System manufacturer,cold spray,,,Australia
3D-Hybrid,System manufacturer,DED-arc,wire,metal,United States
AML3D,System manufacturer,DED-arc,wire,metal,Australia
"Raycham (Nanjing Zhongke Yue Laser Technology Co., Ltd.)",System manufacturer,DED-arc,wire,metal,China
Addilan,System manufacturer,DED-arc,wire,metal,Spain
One Off Robotics,System manufacturer,DED-arc,wire,metal,United States
pro-beam Group,System manufacturer,DED-EB,wire,metal,Germany
3D-Hybrid,System manufacturer,DED-LB,wire,metal,United States
3D-Hybrid,System manufacturer,DED-LB,powder,metal,United States
"Aachen United Technology (Tianjin) Co., Ltd. (Acunity)",System manufacturer,DED-LB,powder,metal,China
Aconity3D GmbH,System manufacturer,DED-LB,powder,metal,Germany
"Avimetal AM Tech Co., Ltd.",System manufacturer,DED-LB,powder,,China
Liburdi Automation Inc,System manufacturer,DED-LB,,metal,
"Raycham (Nanjing Zhongke Yue Laser Technology Co., Ltd.)",System manufacturer,DED-LB,powder,,China
Romi,System manufacturer,DED-LB,powder,metal,Brazil
ADDere,System manufacturer,DED-LB,wire,metal,United States
ADDICT3D,System manufacturer,DED-LB,wire,metal,Sweden
ADDiTEC,System manufacturer,DED-LB,wire,metal,United States
"Avimetal AM Tech Co., Ltd.",System manufacturer,DED-LB,powder,metal,China
Nikon SLM Solutions,System manufacturer,DED-LB,powder,metal,Germany
AMFREE,System manufacturer,DED-LB,,metal,France
Meltio3D,System manufacturer,DED-LB,,metal,Spain
Additec,System manufacturer,DED-LB,,metal,United States
METROM Mechatronische Maschinen GmbH,System manufacturer,DED-LB,,metal,Germany
OSCAR PLT GmbH,System manufacturer,DED-LB,,metal,Germany
InssTek,System manufacturer,DED-LB,,metal,South Korea
AddUp,System manufacturer,DED-LB,,metal,France
ODeCon engineering GmbH,System manufacturer,DED-LB,,metal,Taiwan
Prima Additive S.r.l.,System manufacturer,DED-LB,,metal,Italy
"DM3D Technology, LLC ",System manufacturer,DED-LB,,metal,
Aconity3D GmbH,System manufacturer,DED-LB,,metal,Germany
Nikon SLM Solutions,System manufacturer,DED-LB,,metal,Germany
Hwacheon,System manufacturer,DED-LB,,metal,South Korea
Evobeam GmbH,System manufacturer,DED-LB,,metal,Germany
Mazak,System manufacturer,DED-LB,,metal,Japan
TRUMPF,System manufacturer,DED-LB,,metal,Germany
Okuma Europe,System manufacturer,DED-LB,,metal,Germany
VLM Robotics,System manufacturer,DED-LB,,metal,France
Snowbird Tech,System manufacturer,DED-LB,,metal,United States
LUNOVU,System manufacturer,DED-LB,,metal,Germany
Bharat Fritz Werner Ltd. – BFW,System manufacturer,DED-LB,,metal,India
Nidec Machine Tool America,System manufacturer,DED-LB,,metal,Japan
DMG Mori,System manufacturer,DED-LB,,metal,Japan
Ponticon,System manufacturer,DED-LB,,metal,Germany
Ziknes,System manufacturer,DED-LB,,metal,Spain
Mitsubishi Electric,System manufacturer,DED-LB,,metal,Japan
Romi,System manufacturer,DED-LB,,metal,Brazil
Mitsubishi Heavy Industries,System manufacturer,DED-LB,,metal,Japan
Optomec,System manufacturer,DED-LB,,metal,United States
Sugino,System manufacturer,DED-LB,,metal,Japan
RPM Innovations,System manufacturer,DED-LB,,metal,United States
Chiron Group,System manufacturer,DED-LB,,metal,Germany
SOTIMECO,System manufacturer,DED-LB,,metal,
ADDere,System manufacturer,DED-LB,,metal,United States
INETYX,System manufacturer,DED-LB,,metal,France
Formalloy,System manufacturer,DED-LB,,metal,United States
Philips Corporation,System manufacturer,DED-LB,,metal,United States
Breuck T3D,System manufacturer,FDM,filament,ceramic,China
Breuck T3D,System manufacturer,FDM,filament,polymer,China
1A Technologies,System manufacturer,MEX,pellet,polymer,Germany
3D byFlow,System manufacturer,MEX,,food,The Netherlands
3D Factories,System manufacturer,MEX,filament,polymer,Germany
3D Paradise,System manufacturer,MEX,filament,polymer,India
3D Platform,System manufacturer,MEX,filament,polymer,United States
3D Systems Inc.,System manufacturer,MEX,pellet,polymer,United States
3D Systems Inc.,System manufacturer,MEX,filament,polymer,United States
3D-Dream,System manufacturer,MEX,pellet,polymer,Italy
3D-Dream,System manufacturer,MEX,filament,polymer,Italy
3D-Figo Gmbh,System manufacturer,MEX,pellet,polymer,Germany
3DCeram Sinto,System manufacturer,MEX,filament,ceramic,France
3DCPI-PRODYSOL,System manufacturer,MEX,filament,polymer,Spain
3Deometry Innovations LLP,System manufacturer,MEX,filament,polymer,India
3DGence,System manufacturer,MEX,filament,polymer,Poland
3DKG,System manufacturer,MEX,pellets,polymer,Italy
3DPRN,System manufacturer,MEX,filament,polymer,Italy
3DSTUFFSNL,System manufacturer,MEX,filament,polymer,The Netherlands
3ntr,System manufacturer,MEX,filament,polymer,Italy
"Beijing Huitianwei Technology Co., Ltd.",System manufacturer,MEX,filament,polymer,China
Chimak,System manufacturer,MEX,filament,polymer,Argentina
FANUM Sp. z o.o. SP.k,System manufacturer,MEX,pellet,polymer,Poland
Fused Form,System manufacturer,MEX,pellet,polymer,Colombia
Fused Form,System manufacturer,MEX,filament,polymer,Colombia
KOKONI3D,System manufacturer,MEX,filament,polymer,China
Mosaic Manufacturing Ltd.,System manufacturer,MEX,filament,polymer,Canada
Sethi3D,System manufacturer,MEX,filament,polymer,Brazil
Trideo,System manufacturer,MEX,filament,polymer,Argentina
Trimaker,System manufacturer,MEX,filament,polymer,Argentina
Virtual Smart Factory (VSF),System manufacturer,MEX,slurry,concrete,Australia
Virtual Smart Factory (VSF),System manufacturer,MEX,pellet,polymer,Australia
ADDICT3D,System manufacturer,MEX,pellet,polymer,Sweden
AddiFab,System manufacturer,MEX,filament,polymer,Denmark
Additive Alliance,System manufacturer,MEX,filament,polymer,United States
Afinia 3D,System manufacturer,MEX,filament,polymer,United States
AIM3D GmbH,System manufacturer,MEX,pellet,polymer,Germany
AIM3D GmbH,System manufacturer,MEX,pellet,metal,Germany
AIM3D GmbH,System manufacturer,MEX,pellet,ceramic,Germany
Airwolf 3D,System manufacturer,MEX,filament,polymer,United States
Anisoprint 3D Printing Technology Limited Company,System manufacturer,MEX,filament,polymer,Singapore
Winsun (Yingchuang),System manufacturer,MEX,paste,concrete,China
Henan Creatbot Technology Limited,System manufacturer,MEX,filament,polymer,China
"Shenzhen Adventure Technology Co., Ltd.",System manufacturer,MEX,liquid,ceramic,China
Teccluster (Teccam),System manufacturer,MEX,pellet,Polymer,Denmark
One Off Robotics,System manufacturer,MEX,,polymer,United States
"Nanjing Weibu 3D Technology Co., Ltd.",System manufacturer,MEX,,polymer,
Piocreat,System manufacturer,MEX,pellet,polymer,China
EPSON ATMIX Corporation,System manufacturer,MEX,pellet,polymer,Japan
3D Systems Inc.,System manufacturer,MJT,liquid,wax / polymer,United States
3Deus Dynamics,System manufacturer,MJT,liquid,silicone,France
ADDiTEC,System manufacturer,MJT,liquid,metal,United States
Advanced Solutions,System manufacturer,MJT,liquid,biomaterials,United States
"Zhuhai Sailner 3D Technology Co., Ltd.",System manufacturer,MJT,liquid,polymer,China
Regenovo,System manufacturer,MJT,,biomaterials,China
"Hubei Jiayi 3D Hi-Tech Co., Ltd.",System manufacturer,MJT,,biomaterials,China
Xi'an Sailong Metal,System manufacturer,PBF-EB,powder,metal,China
Xi'an Sailong Metal,System manufacturer,PBF-EB,powder,metal,China
QBEAM (QuickBeam),System manufacturer,PBF-EB,powder,metal,China
Wayland Additive,System manufacturer,PBF-EB,powder,metal,The United Kingdom
Colibrium Additive,System manufacturer,PBF-EB,powder,metal,United States
JEOL,System manufacturer,PBF-EB,powder,metal,Japan
Freemelt,System manufacturer,PBF-EB,powder,metal,Sweden
ALD Vacuum Technologies GmbH,System manufacturer,PBF-EB,powder,metal,Germany
TADA Electric Co.,System manufacturer,PBF-EB,powder,metal,Japan
pro-beam Group,System manufacturer,PBF-EB,powder,metal,Germany
2onelab GmbH,System manufacturer,PBF-LB,powder,metal,Germany
3D MicroPrint GmbH,System manufacturer,PBF-LB,powder,metal,Germany
3D Systems Inc.,System manufacturer,PBF-LB,powder,metal,United States
3D Systems Inc.,System manufacturer,PBF-LB,powder,polymer,United States
3D4MEC,System manufacturer,PBF-LB,powder,metal,Italy
3DM Digital Manufacturing Ltd,System manufacturer,PBF-LB,powder,polymer,Israel
3DSLA.RU,System manufacturer,PBF-LB,powder,metal,Russia
Aconity3D GmbH,System manufacturer,PBF-LB,powder,metal,Germany
Additive Industries b.v.,System manufacturer,PBF-LB,powder,metal,The Netherlands
Additive Manufacturing Customized Machines (AMCM),System manufacturer,PBF-LB,powder,metal,Germany
AddUp,System manufacturer,PBF-LB,powder,metal,France
Alkimat,System manufacturer,PBF-LB,powder,polymer,Brazil
Alkimat,System manufacturer,PBF-LB,powder,metal,Brazil
AmPro Innovations,System manufacturer,PBF-LB,powder,metal,Australia
