Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
"Beijing Ten Dimensions Technology Co., Ltd.",Printing services,,,30,Minimum,,Ceramic,,The United Kingdom,2025
"Beijing Dream Ink Technology Co., Ltd.",Printing services,In-house printers,,,,,Electronics,,The United Kingdom,2025
Prototype Projects,Printing services,3D Systems,Projet 6000,4,Actual,VPP,Polymer,,The United Kingdom,2025
Prototype Projects,Printing services,3D Systems,Projet 7000,1,Actual,VPP,Polymer,,The United Kingdom,2025
Prototype Projects,Printing services,3D Systems,Neo450,1,Actual,VPP,Polymer,,The United Kingdom,2025
Prototype Projects,Printing services,EOS,P1,2,Minimum,VPP,Polymer,,The United Kingdom,2025
Prototype Projects,Printing services,Boston Micro Fabrication,microArch S240 ,1,Actual,,Polymer,,United States,2025
Prototype Projects,Printing services,Stratasys,Objet 260 Connex 3,1,Actual,MJT,Polymer,,United States,2025
Prototype Projects,Printing services,Un-named DLP printer,,1,Actual,VPP,Polymer,,United States,2025
Prototype Projects,Printing services,Bambu Lab,X1-Carbon,1,Actual,MEX,Polymer,,United States,2025
"(UPM) United Performance Metals, LLC",Printing services,Fabrisonic,SonicLayer 1200,1,Minimum,SHL,Metal,,United States,2025
3 DPX,Printing services,EOS,,1,Minimum,PBF-LB,Polymer,,United States,2025
3 DPX,Printing services,,,1,Minimum,BJT,Metal,,United States,2025
3 Space,Printing services,Stratasys,Fortus,1,Minimum,MEX,Polymer,,United States,2025
3 Space,Printing services,Stratasys,Polyjet,1,Minimum,MJT,Polymer,,United States,2025
3 Space,Printing services,3D Systems,MultiJet,1,Minimum,MJT,Polymer,,United States,2025
3 Space,Printing services,3D Systems,SLA,1,Minimum,VPP,Polymer,resin,United States,2025
3D Accuracy,Printing services,Stratasys,FDM,4,Actual,MEX,Polymer,filament,United States,2025
3D Accuracy,Printing services,Stratasys,Objet,2,Actual,MJT,Polymer,,United States,2025
3D Accuracy,Printing services,Stratasys,Fortus,1,Actual,MEX,Polymer,,United States,2025
3D Brooklyn,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
3D Central,Printing services,,,1,Minimum,MEX,Polymer,,United States,2025
3D Herndon,Printing services,,,1,Minimum,VPP,Polymer,,United States,2025
