Company name,Category
3D Currax Solutions,Printer manufacturer
3DCeram-TIWARI,Printer manufacturer
3DKreator,Printer manufacturer
3D Labs,Printer manufacturer
3DPandoras,Printer manufacturer
additive tectonics,Printer manufacturer
AddUp,Printer manufacturer
Allevi,Printer manufacturer
Alloy Enterprises,Printer manufacturer
Alphalaser,Printer manufacturer
AMBOTS,Printer manufacturer
AMAREA Technology GmbH,Printer manufacturer
Apis Cor,Printer manufacturer
AMSYSTEMS,Printer manufacturer
AMT (SPETSVIA),Printer manufacturer
AnkerMake,Printer manufacturer
Arevo Labs,Printer manufacturer
Araknia,Printer manufacturer
Arfona LLC,Printer manufacturer
Armadillo Additive,Printer manufacturer
"Avante Technology, LLC",Printer manufacturer
Artillery,Printer manufacturer
ASPECT,Printer manufacturer
Axenoll,Printer manufacturer
BeAM Machines,Printer manufacturer
BeAM (acquired by AddUp),Printer manufacturer
Big Metal Additive,Printer manufacturer
Berenschot,Printer manufacturer
BigRep GmbH,Printer manufacturer
Bits From Bytes,Printer manufacturer
Boston Micro Fabrication (BMF),Printer manufacturer
BLB Industries,Printer manufacturer
Blue Printer,Printer manufacturer
Blueprinter,Printer manufacturer
BMF – Boston Micro Fabrication,Printer manufacturer
Bosch Industrial Additive Manufacturing – BIAM,Printer manufacturer
Buildatron,Printer manufacturer
brahma3,Printer manufacturer
Brinter AM Technologies Oy,Printer manufacturer
Btec Additive Manufacturing,Printer manufacturer
Cambrian Genomics,Printer manufacturer
Cetus3D,Printer manufacturer
Chem Cubed LLC,Printer manufacturer
Cincinnati Incorporated,Printer manufacturer
Cobbler Technologies,Printer manufacturer
CleanGreen3D,Printer manufacturer
Cliever,Printer manufacturer
Coherent,Printer manufacturer
Collider,Printer manufacturer
Cohesion3D,Printer manufacturer
Coin Robotics,Printer manufacturer
Colibrium Additive,Printer manufacturer
CoLiDo,Printer manufacturer
Construct3D,Printer manufacturer
CraftUnique,Printer manufacturer
CR3D,Printer manufacturer
Creative 3D Technologies,Printer manufacturer
Create it REAL,Printer manufacturer
Creo Machines,Printer manufacturer
Cubic Technologies,Printer manufacturer
CURRANT 3D & Sugar Lab,Printer manufacturer
Cubicure GmbH (part of Invisalign),Printer manufacturer
DDM Digital Foundry (formerly DDM Systems),Printer manufacturer
Cyberon Group,Printer manufacturer
Dazzle,Printer manufacturer
Deltaprintr,Printer manufacturer
Demcon,Printer manufacturer
Dental Milestones Guaranteed (DMG),Printer manufacturer
AM Solutions,Printer manufacturer
dentona,Printer manufacturer
Diabase Engineering,Printer manufacturer
ErectorBot,Printer manufacturer
Digital Metal (part of Markforged part of Nano Dimension),Printer manufacturer
Discovery 3D Printer,Printer manufacturer
DMAMS,Printer manufacturer
Dolomite,Printer manufacturer
Domotek Ingeniería Prototipado y Formación,Printer manufacturer
Dood Studio,Printer manufacturer
Doser,Printer manufacturer
DWS Systems,Printer manufacturer
E3D BigBox,Printer manufacturer
EasyThreed,Printer manufacturer
Endless Industries,Printer manufacturer
EOS GmbH (Electro Optical Systems),Printer manufacturer
Ergometa,Printer manufacturer
Ermaksan,Printer manufacturer
Eveline,Printer manufacturer
"ETEC (formerly EnvisionTEC, part of Desktop Metal, part of Nano Dimension)",Printer manufacturer
Exentis Group AG,Printer manufacturer
Fabmaker,Printer manufacturer
"Fabrica Group (formerly Nanofabrica, now part of Nano Dimension)",Printer manufacturer
Filabot,Printer manufacturer
FABtotum – closed,Printer manufacturer
Facts42morrow Gmbh,Printer manufacturer
Fenghuazhuoli,Printer manufacturer
FlensTech,Printer manufacturer
Fluent Metal,Printer manufacturer
Fochif,Printer manufacturer
FORG3D,Printer manufacturer
FSL3D,Printer manufacturer
FPT INDUSTRIE,Printer manufacturer
Freemelt AB,Printer manufacturer
Fronius,Printer manufacturer
Fugo Precision 3D,Printer manufacturer
FUJI Innovation Lab,Printer manufacturer
Gaudi,Printer manufacturer
gCreate,Printer manufacturer
Grid Logic Incorporated,Printer manufacturer
Gebr. Becker GmbH,Printer manufacturer
genius printers,Printer manufacturer
Geralkom 3D,Printer manufacturer
Gewo Feinmechanik,Printer manufacturer
Global 3D Labs,Printer manufacturer
Grante Corp.,Printer manufacturer
Great Simple,Printer manufacturer
GZERO Additive,Printer manufacturer
GtMax3D,Printer manufacturer
"Guangdong Fenghua Zhuoli Technology Co., Ltd – FHZL",Printer manufacturer
"Guangdong Zhongliding Intelligent Technology Co., Ltd.",Printer manufacturer
"Guangzhou Leijia Additive Technology Co., Ltd.",Printer manufacturer
Haute Fabrication,Printer manufacturer
HAGE,Printer manufacturer
HAGE3D (acquired by BigRep),Printer manufacturer
Hamuel Reichenbacher,Printer manufacturer
Han’s Laser,Printer manufacturer
Holo,Printer manufacturer
HB3D,Printer manufacturer
Heidleberg Instruments – Multiphoton Optics,Printer manufacturer
Hengtong,Printer manufacturer
HORI,Printer manufacturer
HUAYANG,Printer manufacturer
Cubicon,Printer manufacturer
Hybrid Manufacturing Technologies,Printer manufacturer
IBARMIA,Printer manufacturer
IBridger,Printer manufacturer
ICE,Printer manufacturer
IF-Adamas,Printer manufacturer
Ilios 3D,Printer manufacturer
imes-icore,Printer manufacturer
Impact Innovations GmbH,Printer manufacturer
In-Vision,Printer manufacturer
Incus GmbH,Printer manufacturer
INDEX Group,Printer manufacturer
innotech,Printer manufacturer
Innovatica,Printer manufacturer
Dentis,Printer manufacturer
Ionic3DP Private Limited,Printer manufacturer
Ira3d – closed,Printer manufacturer
Jiangsu Brozan Intelligent Technology Co.,Printer manufacturer
"Jiangsu Wiiboox Technology Co., Ltd",Printer manufacturer
"Jinhua EcubMaker 3D Technology Co, Ltd.",Printer manufacturer
JSR Corporation,Printer manufacturer
Julien,Printer manufacturer
Katı Hal Arge,Printer manufacturer
Kisters AG,Printer manufacturer
Kloe,Printer manufacturer
KLONER3D,Printer manufacturer
KODAK 3D,Printer manufacturer
KORA,Printer manufacturer
Laser Photonics,Printer manufacturer
Kumovis,Printer manufacturer
LABISTS,Printer manufacturer
Largix Tech,Printer manufacturer
Lincoln Electric,Printer manufacturer
Lasers and Apparatus,Printer manufacturer
Lightspeed Concepts Inc,Printer manufacturer
LiM Laser,Printer manufacturer
Gooo3D,Printer manufacturer
LONGER,Printer manufacturer
Luke's Laboratory,Printer manufacturer
Made in Space (acquired by Redwire),Printer manufacturer
Lumi Industries,Printer manufacturer
Luxexcel,Printer manufacturer
Magnum,Printer manufacturer
Magnus Metal,Printer manufacturer
MakerDreams,Printer manufacturer
MaQeo Technologies,Printer manufacturer
MARK ONE SRL,Printer manufacturer
MatterFab,Printer manufacturer
HERMLE Maschinenbau GmbH,Printer manufacturer
Massivit 3D,Printer manufacturer
Mebotics,Printer manufacturer
Mbot3D,Printer manufacturer
Mcor Technologies,Printer manufacturer
Megnajet,Printer manufacturer
Mehta Heino,Printer manufacturer
MELD,Printer manufacturer
Metallum3D,Printer manufacturer
Membino,Printer manufacturer
Microfabrica,Printer manufacturer
MicroJet Technology,Printer manufacturer
MICRON3DP,Printer manufacturer
Mimaki Engineering,Printer manufacturer
Mimaki Europe B.V.,Printer manufacturer
Morningbird Space Corporation,Printer manufacturer
mojo3dprinting,Printer manufacturer
Mooz,Printer manufacturer
New Matter,Printer manufacturer
Multec GmbH,Printer manufacturer
MULTIAX INTERNATIONAL CNC SRL,Printer manufacturer
Mutoh,Printer manufacturer
Natural Robotics,Printer manufacturer
