Company name,Website,Headquarters,Owned by / Subsidiary of,Public stock,Number of employees
"(Antinsky) JZCX Industry Co., Ltd.",https://antinsky.com/,China,,,
"(UPM) United Performance Metals, LLC",https://upmet.com,United States,,,
+90 3D Digital Factory,https://plus90.com,Turkey,,,
1000 Kelvin GmbH,https://1000kelvin.com,Germany,,,
1016 Industries,https://1016industries.com,United States,,,
10XL,https://10-xl.nl,The Netherlands,,,
11th Hour Prototypes,https://11th-hour-prototypes.co.uk,The United Kingdom,,,
1A Technologies,https://1a-technologies.com,Germany,,,
1st Mould GmbH,https://1st-mould.de,Germany,,,
1Tenth Scale RC,www.1tenth.com,United States,,,
1ZU1,https://1zu1prototypen.com,Austria,,,
2B3D,https://2b3d.pl,Poland,,,
2M3D,https://2m3d.com.br,Brazil,,,
2onelab GmbH,https://2onelab.com,Germany,,,
3 DBG Print,https://3dbgprint.com,Bulgaria,,,
3 DPX,https://3dpx.com,United States,,,
3 Space,https://3space.com,United States,,,
365 Printing,https://365printing.com,United States,,,
3bfab,https://3bfab.com,Turkey,,,
3Cri Printing – Servizio stampa 3d,https://www.stampa3cri.com/,Italy,,,
3D & I,https://3d-i.be,Belgium,,,
3D Accuracy,https://3d-accuracy.com,United States,,,
3D Accuracy LLC,https://3daccuracy.com,United states,,,
3D Activation GmbH,https://3d-activation.de,Germany,,,
3D Alchemy,https://3d-alchemy.co.uk,The United Kingdom,,,
3D Bavaria,https://3dbavaria.com,Germany,,,
3D BISTRO SP Z O O,https://3dbistro.com,Poland,,,
3D Bonum,https://3dbonum.com,Lithuania,,,
3D Bots,https://3dbots.sg,Singapore,,,
3D Brooklyn,https://3dbrooklyn.com,United States,,,
3D Business SRL,https://3dbusiness.it,Italy,,,
3D byFlow,https://3dbyflow.com,The Netherlands,,,
3D Central,https://3dcentralva.com,United States,,,
3DChimera,https://3dchimera.com,United States,,,
3D Co.,https://3dco.ca,Canada,,,
3D Company,https://3dcompany.it,Italy,,,
3D Compare,https://3dcompare.com,The United Kingdom,,,
3D Concrete,https://3dconcretecaribbean.com,Curacao,,,
3D Connectors,https://the3dconnectors.com,United States,,,
3D Consultancy,https://3d-consultancy.com,The United Kingdom,,,
3D Control Systems,https://3dcontrolsystems.com/,United States,,,
"3D Controls Co.,Ltd.",https://3dcontrols.co.kr,South Korea,,,
3D Creative,https://3dcreative.lt,Lithuania,,,
3D Creative Workshops,,,,,
3D Criar,https://3dcriar.com.br,Brazil,,,
3D Currax Solutions,https://3dcurrax.com,Canada,,,
3D DDS,https://3ddds.net,United States,,,
3D Design Technologies,https://3ddt.com.tr,Turkey,,,
3D Deskundige,https://3ddeskundige.nl,The Netherlands,,,
3D Dot,https://3ddot.ro,Romania,,,
3D Druck Service Frankfurt,https://3d-druck-service-frankfurt.de,Germany,,,
3D Druckshop,https://schnelle-modelle.com,Germany,,,
3D Eksperten,https://3deksperten.dk,Denmark,,,
3D Eology,https://3deology.co.in,India,,,
3D ERA TECH,https://3dera.in,India,,,
3D Evaluate,https://3devaluate.com,Israel,,,
3D EVOLVE SRL,,Italy,,,
3D FAB,https://3dfab.net,Germany,,,
3D Fabrik,https://3d-fabrik.at,Austria,,,
3D Factories,https://3dfactories.de,Germany,,,
3D Factory,https://3dfactory.co.il,Israel,,,
3D Fila,https://3dfila.com.br,Brazil,,,
3D Filament,https://3dfilament.se,Sweden,,,
3D Filamenta,https://3dfilamenta.com,China,,,
3D Filaments,https://3d-filaments.com,United States,,,
3D Filaprint (closed),https://3dfilaprint.com,The United Kingdom,,,
3D Flow,https://3dflow.net,Italy,,,
3D Forge,https://3dforge.com.au,Australia,,,
3D Format,https://3d-format.ru,Russia,,,
3D Forms,https://3dforms.co.za,South Africa,,,
3D Formtech Oy,https://3dformtech.fi,Finland,,,
3D Fuel (no longer part of Nexa3D),https://3dfuel.com,United States,,,
3D FUSION INDUSTRIAL ASSOCIATION CORP.,https://3dfia.org,South Korea,,,
3d Garage – BlueCast,https://3dgarage.shop,Italy,,,
3D GBIRE,https://3dgbire.com,The United Kingdom,,,
3D Herndon,https://3dherndon.com,United States,,,
3D Hybrid Solutions,,,,,
3D iam AG,https://3diam.ch,Switzerland,,,
3D in Metal,https://3dinmetal.com,United States,,,
3D In The Box,https://3dinbox.ro,Romania,,,
3D INCREDIBLE,https://3dincredible.com,India,,,
3D Inductors (GH Induction),https://3dinductors.com,Spain,,,
3D Ink,,,,,
3D Innovations,https://3d-innovations.com,United States,,,
3D Insumos,https://3dinsumos.com.ar,Argentina,,,
3D KORDO,https://3dkordo.eu,Poland,,,
3D Lab Mexico,https://3dlabmexico.com,Mexico,,,
3D Lab Print,https://3dlabprint.com,The Czech Republic,,,
3D LAB Sp. z o.o.,https://3d-lab.pl,Poland,,,
3D LABS,https://3dlabs.io,Germany,,,
3D Labs India,https://3dlabsindia.com/,India,,,
3D Laser BW GmbH & Co. KG,https://3-d-laser.de,Germany,,,
3D LIFE,https://3dlife.pt/en,Portugal,,,
3D Life S.A.,https://3dlife.gr,Greece,,,
3D Logics,https://3dlogics.com,United States,,,
3D London,https://3dlondon.org,The United Kingdom,,,
3D Maastricht,https://3dmaastricht.com,The Netherlands,,,
Makertech 3D,https://www.makertech3d.com/,The United Kingdom,,,
3d manzil,https://3dmanzil.com,United Arab Emirates,,,
3D Maquinser,https://3dmaquinser.com,Spain,,,
3D Market,https://3dmarket.mx,Mexico,,,
3D Master,https://3dmaster.com.vn,Vietnam,,,
"3D Material Technologies, LLC",https://3dmaterialtech.com,United States,,,
3D Matter,https://my3dmatter.com,Singapore,,,
3D MetalForge,https://3dmetalforge.com,Singapore,,,
3D MetPrint AM,https://www.3dmetprint.com,Sweden,,,
3D MicroPrint GmbH,https://3dmicroprint.com,Germany,,,
3D Middle East,https://3d-me.com,United Arab Emirates,,,
3D Model,,,,,
3D MODEL AG,https://3d-model.com,Switzerland,,,
3D Musketeers,,The Netherlands,,,
3D NewShape,https://3dnewshape.com,France,,,
3D Next Level,https://industrial.3dnextlevel.com,The Netherlands,,,
3D Ninja,,The Netherlands,,,
3D Nuts,,,,,
3D Obiecto,https://3d-obiecto.cz,The Czech Republic,,,
3D Orbit,https://3dorbit.nl,The Netherlands,,,
3D Paradise,https://paradise-3d.com,India,,,
3D Parts Manufacturing,https://3dpartsmfg.com,United States,,,
3D People Limited,https://3dpeople.uk,The United Kingdom,,,
3D Phacktory,https://3dphacktory.com,Canada,,,
3D Phoenix,https://3dphoenix.pl,Poland,,,
3D Picture,https://3d-picture.net,Germany,,,
3D Platform,https://3dplatform.com,United States,,,
3D PRECISION SA,https://3dprecision.ch/en,Switzerland,,,
3D Predict,https://3dpredict.com,United States,,,
3D Prima.com,https://3dprima.com,Sweden,,,
3D Print,,,,,
3D Print AU,https://3dprint-au.com,Australia,,,
3D Print Bureau,https://3dprintbureau.co.uk,The United Kingdom,,,
3D Print Cheshire,https://3dprintcheshire.co.uk,The United Kingdom,,,
3D Print Creativity,https://3dprintcreativity.com.au,Australia,,,
3D Print Dxb,https://3dprintdxb.com,United Arab Emirates,,,
3D Print Everything,https://go.thryv.com/site/3DPrintEverything,United states,,,
3D Print Express,https://3dpe.com.au,Australia,,,
3D Print Headquarters,https://3dprinthq.com,,,,
3D Print Norway (Eldevik Industridesign AS),https://3dprint.no,Norway,,,
3D Print Singapore,https://3dprintsingapore.com,Singapore,,,
3D Print Works,https://3d-print-works.com,The United Kingdom,,,
3D printed microTEC,https://3dprintedmicrotec.com,United States,,,
3D Printer Filament Comparison,,,,,
3D Printer Malaysia,,,,,
3D Printer Marketplace,https://3dprintermarketplace.com,United States,,,
3D Printer Solutions,https://3dprintersolutions.nl,The Netherlands,,,
3D Printer Superstore,https://3dprintersuperstore.com.au,Australia,,,
3D PRINTER TECHNOLOGY,https://3DCADPRINTER.COM,United States,,,
3D Printer World,https://3dprinterworld.com,United States,,,
3D Printers Bay,,,,,
3D Printers Depot,https://3dprintersdepot.com,United States,,,
3D Printers Shop,https://3dprinters-shop.com,Spain,,,
3D Printhuset,https://3dprinthuset.dk,Denmark,,,
3D Printing Canada,https://3dprintingcanada.com,Canada,,,
3D Printing Chicago,https://3d-printing-chicago.com,United states,,,
3D Printing Dublin,https://3dprintingdublin.com,Ireland,,,
3D Printing From Scratch,https://3dprintingfromscratch.com,,,,
3D Printing Ireland,https://3dprintingireland.com,Ireland,,,
3D Printing Network,https://3dprintingnetwork.com,United States,,,
3D Printing Nottingham,https://3dprintingnottingham.net,The United Kingdom,,,
3D Printing Prototypes,https://3dprintingprototypes.nl,The Netherlands,,,
3D Printing PTY LTD,https://3d-print.com.au,Australia,,,
3D Printing Shop,https://3dprintingshop.com.au,Australia,,,
3D Printing Solutions,https://3dprintingsolutions.com.au,Australia,,,
3D Printing Supplies,https://3dprintingsupplies.bigcartel.com,United States,,,
3D Printing Systems Australia,https://www.3dprinting.com.au,Australia,,,
3D Printing Tech,https://3dprintingtech.com,United States,,,
"3D Printing Technology, Inc. (3DPTEK)",https://www.lyafs.com/,China,Beijing Longyuan Automated Fabrication System Co. Ltd. – AFS,,
3D Printing Vacuum Pump – Airtech Incorporated,https://airtechusa.com,United States,,,
3D Printlife,https://3dprintlife.com,United States,,,
3D Prints,https://3d-prints.ch,Switzerland,,,
3D Prints Canada,https://3dprintscanada.com,Canada,,,
3D PRINTS ON DEMAND,https://3dprintsondemand.com,Greece,,,
3D Printsmith LLC,https://3dprintsmith.com,United States,,,
3D Printworx (Europac 3D),https://europac3d.com,The United Kingdom,,,
3D Pro,https://3dpro.co.za,South Africa,,,
3D Prod,https://3dprod.com/en,France,,,
3D Prototipai,https://3dpro.lt,Lithuania,,,
3D Prototype AND Models,https://3dprototypesandmodels.com.au,Australia,,,
3D Prototype Design,https://3dprototype.com,Canada,,,
3D Prototyping,https://3dprototyping.com.au,Australia,,,
3D Quick Printing,https://3dquickprinting.com,The United Kingdom,,,
3D Rapid Parts,https://phxrapid.com,United States,,,
3D Rapid Print,https://3drapidprint.co.uk,The United Kingdom,,,
3D Republika,https://3drepublika.com,Serbia,,,
3D Research,https://3dresearch.it,Italy,,,
3D Robotics,https://3drobotics.com,United States,,,
3D Room Made,,,,,
"3D Scan IT, Inc.",https://3dscanit.com,,,,
3D Schilling,https://3d-schilling.de,Germany,,,
3D SculpLab,https://3dsculplab.xyz,India,,,
3D Shape Engineering,https://3dshapeengineering.com,,,,
3D Shark,https://3dshark.si,Slovenia,,,
3D Shoes,https://3dshoes.com,United States,,,
3D Simulations,https://3dsimulationsinc.com,United States,,,
3D SLASH,https://3dslash.net,France,,,
3D Smart Solutions,https://3d-smartsolutions.com,Vietnam,,,
3D Solutions,https://3dsolutions.ca,Canada,,,
3D Solutions (Solusi 3D),https://solusi3d.co.id,indonesia,,,
3D Solutions Brauer Group – Bräuer Schweisstechnik,https://3d-solution.tech,Germany,,,
"3D Solutions, Inc",https://3dsolutionsinc.com,United States,,,
