Year,Month,Company name,Country,Amount (in millions USD),Funding round,Lead investor,,,
2020,Feb,Aurora Labs,Australia,1.8,Private plct.,Tjeerd Barthen,,,Tableau prototype
2021,Aug,Romar Engineering,Australia,4.3,Grant,MMI,,,
2021,Aug,Titomic,Australia,1.7,Grant,Australian Government,,,
2021,Oct,Conflux,Australia,6.3,Series A,AM Ventures,,,
2021,Dec,Inventia Life Science,Australia,25.7,Series B,Blackbird Ventures,,,
2022,Jun,Inventia,Australia,3,Not specified,HESTA,,,
2022,Dec,Syenta,Australia,2.5,Seed,Blackbird,,,
2021,Apr,Revo Foods,Austria,1.6,Seed,Hazelpond Capital,,,
2021,Dec,Incus,Austria, ,Series A,AM Ventures,,,
2022,Jul,UpNano,Austria, ,Not specified,IGO Industries,,,
2019,Apr,Fluidda,Belgium,4, ,Materialise,,,
2021,Mar,Valcun,Belgium,1.6,Not specified,Piet D’Haeyer,,,
2023,Nov,ValCUN,Belgium,2.7,Grant,European Innovation Councll,,,
2020,Mar,SouSmile,Brazil,10,Series A,Global Founders Capital,,,
2020,Dec,Tissuelabs,Brazil,0.2,Grant,FAPESP,,,
2019,Feb,Equispheres,Canada,8, ,BDC Capital,,,
2019,Sep,Precision ADM,Canada, , ,Industry veterans,,,
2020,Jan,Aspect Biosystem,Canada,20,Series A,Radical Ventures,,,
2020,Jan,Equispheres,Canada,8, ,SDTC,,,
2020,Jan,Aspect Biosystems,Canada,20,Series A,Radical Ventures,,,
2020,Jan,Equispheres,Canada,8,Not specified,SDTC,,,
2020,Apr,Equispheres,Canada,23.6,Series B,HG Ventures,,,
2020,Apr,Adaptiiv Medical Tech.,Canada,3,Not specified,Not specified,,,
2020,May,Shapeshift 3D,Canada, ,Pre seed,Government of Quebec,,,
2021,Sep,AON3D,Canada,11.5,Series A,SineWave Ventures,,,
2022,Jan,Equispheres,Canada,3.5,Grant,FEDDEV,,,
2022,Jan,Equispheres,Canada,3.5,Grant,FEDDEV,,,
2022,Apr,Mosaic Manufacturing,Canada, ,Seed,Techstars,,,
2022,Jun,Reaction Dynamics,Canada,3.5,Grant,Ngen,,,
2023,Jul,Metafold,Canada,1.8,Seed,Differential Ventures,,,
2023,Aug,3D BloFIbR,Canada,3.5,Seed,Invest Nova Scotla,,,
2019,Aug,LuxCreo,China,30,Series B,Kleiner Perkins,,,
2019,Sep,Meditool,China, , ,Evonik Venture Capital,,,
2020,Dec,Triastek,China,15,Series A,Dalton Venture,,,
2021,May,Kings 3D,China,15.8,Series B,Rongyi Investment,,,
2021,May,LuxCreo,China,15.8,Series B,HKSTP,,,
2021,Jul,Triastek,China,52.2,Series B,Matrix,,,
2021,Oct,Polly Polymer,China,15.8,Not specified,Vitalbridge Capital,,,
2021,Oct,Enovate3D,China, ,Seed,Sequoia China,,,
2021,Nov,Zhuhai Sailner 3D Technology,China,15.8,Pre A,Legend Capital,,,
2021,Nov,Triastek,China, ,Series B+,Triwise Capital,,,
2021,Dec,Wenext,China,55,Series B,CAS Investment Management,,,
2021,Dec,Itamsys,China, ,Not specified,Porsche Ventures,,,
2021,Dec,UnionTech,China,31.6,Series D,Dening Capital,,,
2022,Feb,HBD,China,60,Series A,Qianhai FOF,,,
2022,Feb,Raise3D,China,15.8,Series C,Shanghai Jinpu,,,
2022,Feb,HBD,China,60,Series A,Qianhai FOF,,,
2022,Feb,Raise3D,China,14.6,Series C,Shanghai Jinpu,,,
2022,Jun,Kings 3D (Jinshi),China, ,Series C,Morgan Stanley,,,
2022,Jul,Chenglian Technology,China,20.4,Series A,Zhencheng Capital,,,
2022,Jul,BMF,China,43,Series C,Shenzhen Capital Group,,,
2022,Oct,Sprintray (Xunshi),China,,,Softbank Vision,,,
2022,Oct,Polymaker,China,,Not specified,Skytrace Capital.,,,
2022,Dec,Qbeam,China,14.6,Series A,Not specified,,,
2023,May,Eplus 3d,China,,Series B,,,,
2023,Aug,Boston Micro FabrIcation,China,24,Series D,Guotal Junan,,,
2023,Sep,Trlastek,China,20.4,Series C,Guoxin Investment,,,
2023,Dec,Jlangsu Vilory,China,50,Series B,Enterprise Mixed Ownership Reform Fund,,,
2024,Feb,Acade Powder,China,16.7,Series B,,,,
2019,Mar,Addifab,Denmark,1.6,Grant,Horizon 2020,,,
