Figure name,Sheet name and link,V1,,Needs further work?,Notes
Academic activities,Academic activities'!A1,2,,,
Academic publications,Academic publications'!A1,1,,,
Additive construction market distribution - organization type,ACMD - organization type'!A1,ACMD - organization type'!A1,,,Combine with region and material filters?
Additive construction market distribution - region and year,ACMD - region and year'!A1,Used elsewhere,,,
Additive construction material distribution,ACMD!A1,^,,,
Additive construction regional distribution,ACRD!A1,^,,,
All industrial AM systems shipped,All industrial AM systems'!A1,1,,,
AM investment distribution,AM investment distribution'!A1,1,,,
AM market breakdown,AM market breakdown'!A1,Used elsewhere,,,
AM market revenue,AM market revenue'!A1,4,v1,Yes (country breakdown),"Don't show previous years, simply show 2024 pie chart by segments with additional option to filter by country"
AM material market size,AM material market size'!A1,4,v1,To be consolidated into Total AM market yearly growth rate,
AM materials offered,AM materials offered'!A1,2,,,
AM Partnership types,AM Partnership types'!A1,1,,,
AM parts in service per criticality class,AM parts service - criticality'!A1,1,,,
AM projects per criticality class,AM projects - criticality'!A1,1,,,
AM software market,AM software market'!A1,Used elsewhere,,,
AM software market size,AM software market size'!A1,4,v1,To be consolidated into Total AM market yearly growth rate,
AM software sales revenue,AM software sales revenue'!A1,1,,,
Analysis of automatically importable data,Analysis of auto imported data'!A1,1,,,
Annual AM material sales,AM material market sales - time'!A1,3,,,
Annual growth rate in shipments - all industrial,Growth industrial shipments'!A1,1,,,
Annual growth rate in shipments - metal,Growth metal system shipments'!A1,1,,,
Annual growth rates for AM material sales,AM material sales yearly growth'!A1,Used elsewhere,,,
Annual number of M&A deals,Annual number of M&A deals'!A1,1,,,
Carbon dioxide emissions of various production methods,CO2 emissions prod methods'!A1,1,,,
Comparison of parts built and in service,Parts built and in service'!A1,1,,,
Core AM Competencies in Academia,Core AM Competency in Academia'!A1,4,Maybe too narrow interest for v1,,
Cost of producing and qualifying a single critical AM part,Cost produce qualify AM part'!A1,1,,,
Cost of various method for making a clamp,Cost methods for making a clamp'!A1,1,,,
Cumulative industrial AM system installations - 2024,AM system installations - 2024'!A1,2,,,
