Company name,Material type,Material,Process,Quantity,Manufacturing cost,Shipping cost,Day ordered,Delivery date,Lead time,Country,,Scattered plot with manufacturing cost vs delivery time
Quickparts,Polymer,ABS,VPP,1,172.93,,18-Jul,23-Jul,5,U.S.,,"Filters by Country, Process, Material, Production type (1 unit vs 1K units)"
Quickparts,Polymer,ABS,VPP,1,157.21,,18-Jul,25-Jul,7,U.S.,,
Quickparts,Polymer,ABS,VPP,1,370.49,,18-Jul,19-Jul,1,U.S.,,
Quickparts,Polymer,ABS,VPP,1,406.98,,18-Jul,18-Jul,0,U.S.,,
Quickparts,Polymer,PP,VPP,1,172.93,,18-Jul,23-Jul,5,U.S.,,
Quickparts,Polymer,PP,VPP,1,157.21,,18-Jul,25-Jul,7,U.S.,,
Quickparts,Polymer,PP,VPP,1,370.49,,18-Jul,19-Jul,1,U.S.,,
Quickparts,Polymer,PP,VPP,1,406.98,,18-Jul,18-Jul,0,U.S.,,
Quickparts,Polymer,PC,VPP,1,172.93,,18-Jul,23-Jul,5,U.S.,,
Quickparts,Polymer,PC,VPP,1,190.22,,18-Jul,25-Jul,7,U.S.,,
Quickparts,Polymer,Nylon,PBF-LB,1,95.39,,18-Jul,25-Jul,7,U.S.,,
Quickparts,Polymer,Nylon,PBF-LB,1,86.72,,18-Jul,27-Jul,9,U.S.,,
Quickparts,Metal,Titanium,PBF-LB,1,1555.14,,18-Jul,30-Jul,12,U.S.,,
Quickparts,Metal,Titanium,PBF-LB,1,1399.62,,18-Jul,2-Aug,15,U.S.,,
Quickparts,Metal,Aluminum,PBF-LB,1,502.79,,18-Jul,30-Jul,12,U.S.,,
Quickparts,Polymer,Aluminum,PBF-LB,1,437.21,,18-Jul,2-Aug,15,U.S.,,
Quickparts,Polymer,316L,PBF-LB,1,1088.58,,18-Jul,30-Jul,12,U.S.,,
Quickparts,Polymer,316L,PBF-LB,1,979.73,,18-Jul,2-Aug,15,U.S.,,
Shapeways,Metal,316L,BJT,1,377.03,24.96,2-Jul,22-Aug,51,Netherlands,,
"Facfox (Hangzhou Chizha Technology Co., Ltd.)",Metal,316L,PBF-LB,1,211.2,34.99,2-Jul,27-Jul,25,China,,
AOL Precision Mfg (via CraftCloud),Metal,316L,PBF-LB,1,1773.33,48.75,2-Jul,7-Aug,36,U.S.,,
AOL Precision Mfg (via CraftCloud),Metal,Aluminum,PBF-LB,1,853.16,48.75,2-Jul,7-Aug,36,U.S.,,
AOL Precision Mfg (via CraftCloud),Metal,Titanium,PBF-LB,1,3377.73,48.75,2-Jul,7-Aug,36,U.S.,,
AOL Precision Mfg (via CraftCloud),Metal,Inconel 718,PBF-LB,1,5785.07,48.75,2-Jul,7-Aug,36,U.S.,,
Smart Factory (via CraftCloud),Metal,Titanium,PBF-LB,1,4133.38,100.63,2-Jul,28-Jul,26,Lithuania,,
Shenzhen 3D Innovate,Metal,Inconel 718,PBF-LB,1,656.06,26,4-Jul,21-Jul,17,China,,
Shenzhen 3D Innovate,Metal,Inconel 718,PBF-LB,1,676.31,34.13,4-Jul,18-Jul,14,China,,
3DPnxt,Metal,Inconel 718,PBF-LB,1,735.38,19.5,4-Jul,22-Jul,18,China,,
3DPnxt,Metal,Inconel 718,PBF-LB,1,735.38,30.88,4-Jul,18-Jul,14,China,,
KleRo GmbH,Metal,Inconel 718,PBF-LB,1,737.81,80.51,4-Jul,5-Aug,32,Germany,,
KleRo GmbH,Metal,Inconel 718,PBF-LB,1,819.6,90.58,4-Jul,31-Jul,27,Germany,,
IN3DTEC,Metal,Inconel 718,PBF-LB,1,1098.34,32.5,4-Jul,16-Jul,12,China,,
3DPnxt,Metal,Aluminum,PBF-LB,1,79.3,19.5,4-Jul,21-Jul,17,China,,
ProtoTi,Metal,Aluminum,PBF-LB,1,80.09,19.5,4-Jul,21-Jul,17,China,,
3DPnxt,Metal,Aluminum,PBF-LB,1,81.3,19.5,4-Jul,18-Jul,14,China,,
ProtoTi,Metal,Aluminum,PBF-LB,1,82.52,19.5,4-Jul,18-Jul,14,China,,
Shenzhen 3D Innovate,Metal,Aluminum,PBF-LB,1,79.5,26,4-Jul,22-Jul,18,China,,
3DPnxt,Metal,Aluminum,PBF-LB,1,81.3,30.88,4-Jul,16-Jul,12,China,,
3DSPRO Limited,Metal,Aluminum,PBF-LB,1,92.82,32.5,4-Jul,23-Jul,19,China,,
Unionfab,Metal,Aluminum,PBF-LB,1,99.84,27.63,4-Jul,15-Jul,11,China,,
IN3DTEC,Metal,Aluminum,PBF-LB,1,127.37,22.1,4-Jul,17-Jul,13,China,,
GLINK TECHNOLOGY,Metal,Aluminum,PBF-LB,1,125.07,30.88,4-Jul,15-Jul,11,China,,
zone3Dplus,Metal,Aluminum,PBF-LB,1,139.15,26,4-Jul,16-Jul,12,China,,
szmake3d,Metal,Aluminum,PBF-LB,1,142.74,27.63,4-Jul,15-Jul,11,China,,
AppVest Intelligent Manufacturing,Metal,Aluminum,PBF-LB,1,605.45,54.35,4-Jul,21-Jul,17,Turkey,,
PrecisionHub 3D Labs,Metal,Aluminum,PBF-LB,1,1188.56,6.34,4-Jul,15-Aug,42,U.S.,,
PrecisionHub 3D Labs,Metal,Aluminum,PBF-LB,1,1251.03,6.34,4-Jul,1-Aug,28,U.S.,,
PrecisionHub 3D Labs,Metal,Aluminum,PBF-LB,1,1251.03,48.92,4-Jul,29-Jul,25,U.S.,,
ProtoTi,Metal,Titanium,PBF-LB,1,328.12,19.5,4-Jul,22-Jul,18,China,,
Shenzhen 3D Innovate,Metal,Titanium,PBF-LB,1,327.99,26,4-Jul,22-Jul,18,China,,
ProtoTi,Metal,Titanium,PBF-LB,1,334.79,19.5,4-Jul,21-Jul,17,China,,
Shenzhen 3D Innovate,Metal,Titanium,PBF-LB,1,338.08,26,4-Jul,21-Jul,17,China,,
ProtoTi,Metal,Titanium,PBF-LB,1,334.79,30.88,4-Jul,17-Jul,13,China,,
Shenzhen 3D Innovate,Metal,Titanium,PBF-LB,1,338.08,34.13,4-Jul,18-Jul,14,China,,
3DPnxt,Metal,Titanium,PBF-LB,1,398.1,19.5,4-Jul,22-Jul,18,China,,
3DPnxt,Metal,Titanium,PBF-LB,1,404.14,19.5,4-Jul,21-Jul,17,China,,
